Matrix Multiplication,Vector Transformation
3.00469e-07,3.00469e-07
0,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
0,0
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
0,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
6.00938e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
0,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,6.00938e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
6.00938e-07,3.00469e-07
6.00938e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
6.00938e-07,3.00469e-07
3.00469e-07,0
3.00469e-07,0
3.00469e-07,3.00469e-07
6.00938e-07,3.00469e-07
3.00469e-07,3.00469e-07
6.00938e-07,3.00469e-07
3.00469e-07,3.00469e-07
6.00938e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,0
3.00469e-07,0
0,0
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,0
3.00469e-07,0
3.00469e-07,3.00469e-07
0,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,0
3.00469e-07,3.00469e-07
6.00938e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
6.00938e-07,3.00469e-07
3.00469e-07,3.00469e-07
0,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
0,3.00469e-07
6.00938e-07,3.00469e-07
3.00469e-07,0
3.00469e-07,3.00469e-07
0,3.00469e-07
3.00469e-07,3.00469e-07
0,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,0
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,6.00938e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
0,3.00469e-07
3.00469e-07,3.00469e-07
0,3.00469e-07
0,0
0,0
0,0
0,0
0,3.00469e-07
3.00469e-07,3.00469e-07
6.00938e-07,0
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
0,0
0,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
0,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
0,0
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
3.00469e-07,3.00469e-07
